UC;UC01;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;2/2/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1010001;--- ;NF ;  ;  
1010002;--- ;16;14;15
1010010;--- ;12;8;10
1010016;--- ;NF ;  ;  
1010019;12;12;7;SM 
1010025;--- ;NF ;  ;  
1010027;--- ;NF ;  ;  
1010035;--- ;NF ;  ;  
1010036;--- ;NF ;  ;  
1010038;--- ;NF ;  ;  
1010039;--- ;NF ;  ;  
1010041;--- ;NF ;  ;  
1010045;--- ;NF ;  ;  
1010054;--- ;NF ;  ;  
1010059;--- ;NF ;  ;  
1010062;--- ;NF ;  ;  
1010065;--- ;12;7;SM 
1010066;--- ;NF ;  ;  
1010076;--- ;NF ;  ;  
1010082;--- ;8;  ;SM 
1010090;--- ;13;8;10
1010094;14;14;  ;SM 
1010106;--- ;12;10;11
1010108;--- ;11;9;10
1010109;--- ;12;8;10
1020002;--- ;NF ;  ;  
1020004;--- ;8;11;10
1020005;--- ;NF ;  ;  
1020009;--- ;NF ;  ;  
1020011;--- ;NF ;  ;  
1020016;--- ;NF ;  ;  
1020019;--- ;10;7;SM 
1020030;--- ;NF ;  ;  
1020044;--- ;8;8;8
1020052;--- ;NF ;  ;  
1030003;--- ;NF ;  ;  
1030010;--- ;NF ;  ;  
1030015;--- ;NF ;  ;  
1030019;--- ;NF ;  ;  
1030023;--- ;13;10;11
1030028;--- ;NF ;  ;  
1030034;--- ;8;0;SM 
1030038;--- ;NF ;  ;  
1040002;--- ;8;8;8
1040003;15;15;0;SM 
1040006;--- ;NF ;  ;  
1040018;--- ;9;10;10
1040020;--- ;NF ;  ;  
1040023;10;13;10;11
1040031;--- ;NF ;  ;  
1040040;--- ;NF ;  ;  
1040044;--- ;NF ;  ;  
1040045;--- ;7;0;SM 
1040052;--- ;13;6;SM 
1050001;--- ;16;10;12
1050005;--- ;12;0;SM 
1050006;--- ;NF ;  ;  
1050007;--- ;NF ;  ;  
1050011;--- ;NF ;  ;  
1050012;--- ;NF ;  ;  
1050015;--- ;13;9;11
1050028;10;13;8;10
1050034;11;11;4;SM 
1050042;--- ;NF ;  ;  
1050054;12;12;0;SM 
1050063;--- ;13;8;10
1050065;--- ;NF ;  ;  
1050075;--- ;7;0;SM 
1050076;--- ;NF ;  ;  
1050082;10;16;10;12
1050083;--- ;6;0;SM 
1060016;--- ;NF ;  ;  
1060023;11;11;0;SM 
1060033;--- ;8;0;SM 
1060042;11;13;9;11
1060051;--- ;6;0;SM 
1060052;--- ;NF ;  ;  
1060056;--- ;9;7;SM 
1060058;--- ;NF ;  ;  
1060061;--- ;NF ;  ;  
1060071;--- ;NF ;  ;  
1060076;--- ;NF ;  ;  
1060083;--- ;9;10;10
1060085;10;10;0;SM 
1060097;13;13;8;10
1060101;12;12;0;SM 
1060107;15;15;0;SM 
1060112;--- ;NF ;  ;  
1060126;--- ;6;0;SM 
1060128;--- ;NF ;  ;  
1070010;--- ;10;7;SM 
1070018;--- ;NF ;  ;  
1070022;--- ;NF ;  ;  
1070026;--- ;0;0;SM 
1070051;--- ;NF ;  ;  
1070057;--- ;8;11;10
1070061;--- ;8;0;SM 
1070067;--- ;NF ;  ;  
1070075;--- ;10;10;10
1070089;--- ;NF ;  ;  
1070094;--- ;0;0;SM 
1070096;12;12;10;11
1070097;12;12;0;SM 
1070110;--- ;10;5;SM 
1070113;12;12;12;12
1070115;--- ;NF ;  ;  
1070120;--- ;12;11;11
1070128;--- ;13;9;11
1070133;--- ;NF ;  ;  
1070137;--- ;7;0;SM 
1070139;--- ;NF ;  ;  
1070144;--- ;8;0;SM 
1070145;--- ;11;9;10
1070151;10;10;0;SM 
1070164;--- ;NF ;  ;  
1070166;--- ;NF ;  ;  
1070170;--- ;11;10;10
1070173;16;16;0;SM 
1070180;--- ;NF ;  ;  
1080005;--- ;13;8;10
1080006;--- ;NF ;  ;  
1080007;--- ;NF ;  ;  
1080009;11;11;11;11
1080012;--- ;11;9;10
1080015;12;12;3;SM 
1080020;--- ;8;8;8
1080030;13;13;10;11
1080034;--- ;8;0;SM 
1080035;--- ;NF ;  ;  
1080038;14;14;12;13
1080040;--- ;NF ;  ;  
1080049;--- ;6;0;SM 
1080051;10;10;0;SM 
1080056;--- ;NF ;  ;  
1080063;--- ;8;0;SM 
1080065;--- ;12;10;11
1080066;11;11;6;SM 
1080075;--- ;7;0;SM 
1080076;11;11;9;10
1080077;12;12;0;SM 
1080087;--- ;NF ;  ;  
1080095;--- ;NF ;  ;  
1080099;15;15;0;SM 
1080104;--- ;8;9;9
1080111;--- ;NF ;  ;  
1080113;--- ;9;7;SM 
1080114;10;10;0;SM 
1080116;--- ;17;10;13
1080119;11;11;0;SM 
1080120;--- ;12;10;11
1080130;12;12;11;11
1080138;--- ;8;8;8
1080139;13;13;9;11
1080142;11;11;9;10
1080143;10;10;7;SM 
1080144;11;11;0;SM 
1080150;--- ;11;9;10
1080152;--- ;6;0;SM 
1080153;--- ;8;0;SM 
1080159;--- ;8;5;SM 
1080160;--- ;11;0;SM 
1080164;13;13;6;SM 
1080168;--- ;11;9;10
1080175;--- ;10;10;10
1080180;--- ;6;0;SM 
1080185;--- ;NF ;  ;  
1080188;14;14;7;SM 
1080190;--- ;NF ;  ;  
1080195;--- ;NF ;  ;  
1080197;--- ;NF ;  ;  
1080203;--- ;NF ;  ;  
1080207;--- ;7;0;SM 
1080208;--- ;NF ;  ;  
1080209;--- ;10;12;11
1090001;--- ;9;9;9
1090002;--- ;11;9;10
1090003;--- ;NC ;2;SM 
1090004;--- ;6;  ;SM 
1090005;--- ;NF ;  ;  
1090006;--- ;8;9;9
1090007;--- ;NF ;  ;  
1090008;--- ;8;8;8
1090009;--- ;9;11;10
1090010;--- ;10;  ;SM 
1090011;--- ;NF ;  ;  
1090012;--- ;NF ;  ;  
1090013;--- ;2;0;SM 
1090014;--- ;8;11;10
1090015;--- ;12;9;10
1090016;--- ;12;10;11
1090017;--- ;2;0;SM 
1090018;--- ;12;8;10
1090019;--- ;9;10;10
1090020;--- ;NF ;  ;  
1090021;--- ;NC ;FT ;SM 
1090022;--- ;4;  ;SM 
1090023;--- ;17;13;15
1090024;--- ;NF ;  ;  
1090025;--- ;6;  ;SM 
1090026;--- ;NF ;  ;  
1090028;--- ;0;0;SM 
1090029;--- ;NF ;  ;  
1090030;--- ;12;12;12
1090031;--- ;8;  ;SM 
1090032;--- ;8;9;9
1090033;--- ;11;9;10
1090034;--- ;14;10;12
1090035;--- ;8;7;SM 
1090036;--- ;12;10;11
1090037;--- ;2;  ;SM 
1090038;--- ;14;9;11
1090039;--- ;13;13;13
1090040;--- ;NF ;  ;  
1090041;--- ;13;12;12
1090042;--- ;15;4;SM 
1090043;--- ;5;0;SM 
1090044;--- ;9;9;9
1090045;--- ;NF ;  ;  
1090046;--- ;NF ;  ;  
1090047;--- ;8;0;SM 
1090048;--- ;14;10;12
1090049;--- ;NF ;  ;  
1090050;--- ;13;7;SM 
1090051;--- ;11;10;10
1090052;--- ;14;10;12
1090053;--- ;NC ;FT ;NC 
1090056;--- ;8;11;10
1090057;--- ;14;11;12
1090058;--- ;NF ;  ;  
