UC;UC04;;
Ano;2009-2010;;
Epoca;NM;;
Data;28/6/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1010001;0;FT ;0
1010016;0;FT ;NC 
1010019;8.4 ;6.8 ;8
1010036;0;FT ;NC 
1010041;NF ;  ;  
1010065;12;0;6
1010066;NF ;  ;  
1010076;0;FT ;NC 
1010080;0;FT ;NC 
1020005;0;FT ;NC 
1020007;NF ;  ;  
1020016;NF ;  ;  
1020021;0;FT ;NC 
1020052;0;FT ;NC 
1030010;NF ;  ;  
1030011;0;FT ;NC 
1030015;0;FT ;NC 
1030028;0;FT ;NC 
1030029;0;FT ;NC 
1030037;0;FT ;NC 
1030038;NF ;  ;  
1040012;12.8 ;9.8 ;11
1040018;3.2 ;4.5 ;4
1040020;0;FT ;NC 
1040040;NF ;  ;  
1040052;13.8 ;9.4 ;12
1050001;NF ;  ;  
1050012;NF ;  ;  
1050015;9;10.2 ;10
1050027;0;FT ;NC 
1050028;0;FT ;NC 
1050037;0;FT ;NC 
1050042;NF ;  ;  
1050048;0;FT ;NC 
1050055;0;FT ;NC 
1050061;0;FT ;NC 
1050073;0;FT ;NC 
1050076;0.5 ;FT ;NC 
1050082;NF ;  ;  
1050083;5.2 ;FT ;NC 
1060016;0;FT ;NC 
1060051;2.1 ;FT ;1
1060067;0;FT ;NC 
1060071;NF ;  ;  
1060076;NF ;  ;  
1060089;0;FT ;NC 
1060091;NF ;  ;  
1060103;4.4 ;FT ;NC 
1060107;0;FT ;NC 
1060112;NF ;  ;  
1060118;0;FT ;NC 
1060126;7.6 ;FT ;NC 
1060128;NC ;13;13
1060142;7.8 ;FT ;4
1070006;0;FT ;NC 
1070015;0;FT ;NC 
1070018;NF ;  ;  
1070022;NF ;  ;  
1070039;0;FT ;NC 
1070040;0;FT ;NC 
1070051;4.4 ;9.7 ;7
1070053;NF ;  ;  
1070061;8.8 ;11.1 ;10
1070078;NF ;  ;  
1070079;7.2 ;FT ;NC 
1070089;NF ;  ;  
1070094;4.6 ;FT ;2
1070105;5.2 ;13.3 ;10
1070110;1.6 ;FT ;NC 
1070124;NF ;  ;  
1070128;12;FT ;6
1070138;0;FT ;NC 
1070139;NF ;  ;  
1070144;4.8 ;FT ;2
1070156;1.4 ;FT ;1
1070159;NF ;  ;  
1070164;NF ;  ;  
1070180;0;FT ;NC 
1080001;NF ;  ;  
1080002;NF ;  ;  
1080004;NF ;  ;  
1080006;NF ;  ;  
1080007;0;FT ;NC 
1080012;12.6 ;18.3 ;16
1080015;9.4 ;6.14 ;8
1080020;3.8 ;FT ;2
1080031;0;FT ;NC 
1080034;5;FT ;3
1080035;NF ;  ;  
1080040;10.2 ;FT ;5
1080046;NF ;  ;  
1080050;12.6 ;11.3 ;12
1080056;NF ;  ;  
1080063;NF ;  ;  
1080065;9.8 ;19;15
1080081;6.6 ;13.6 ;10
1080087;0;FT ;NC 
1080095;NF ;  ;  
1080099;0;FT ;NC 
1080104;11.2 ;19.8 ;16
1080111;NF ;  ;  
1080113;12.8 ;FT ;6
1080114;0.8 ;FT ;0
1080116;19.4 ;16.4 ;18
1080136;4.8 ;FT ;2
1080137;9.2 ;16.3 ;13
1080139;7;13.9 ;11
1080143;5;9;7
1080150;8.6 ;10.1 ;10
1080152;9.2 ;FT ;5
1080157;0;FT ;NC 
1080159;15.6 ;11;13
1080164;12.2 ;16.3 ;14
1080172;0;FT ;NC 
1080183;0;FT ;NC 
1080185;NF ;  ;  
1080189;0;FT ;NC 
1080190;0;FT ;NC 
1080194;10.6 ;FT ;5
1080195;0;FT ;NC 
1080197;NF ;  ;  
1080202;6;8.6 ;7
1080203;0;FT ;NC 
1080207;10.2 ;3.3 ;7
1080208;0;FT ;NC 
1090001;8.2 ;13.9 ;11
1090002;10.4 ;17.7 ;14
1090003;2;FT ;1
1090005;NF ;  ;  
1090006;8.2 ;11.5 ;10
1090007;0;FT ;0
1090008;10.2 ;9.1 ;10
1090009;10.4 ;16.5 ;14
1090010;10;FT ;5
1090011;NF ;  ;  
1090012;NF ;  ;  
1090013;10.6 ;12.9 ;12
1090014;10.8 ;12;12
1090015;9.2 ;17.3 ;13
1090016;8.2 ;12.6 ;11
1090017;3.2 ;FT ;2
1090018;12;16.1 ;14
1090019;10.6 ;18.2 ;15
1090020;1.8 ;10.5 ;6
1090021;4;FT ;2
1090022;6;FT ;3
1090023;15;19.2 ;17
1090024;NF ;  ;  
1090025;12.2 ;13.7 ;13
1090026;0;FT ;NC 
1090028;1.4 ;FT ;1
1090029;NF ;  ;  
1090030;16;8.9 ;13
1090031;13.2 ;FT ;7
1090033;18.6 ;14;16
1090034;12.8 ;13.6 ;13
1090036;10;17.5 ;14
1090037;10.2 ;13.5 ;12
1090038;10;17.5 ;14
1090039;10.6 ;17.6 ;14
1090040;0;FT ;NC 
1090041;17.6 ;17.8 ;18
1090042;14.4 ;14.2 ;14
1090043;0;FT ;NC 
1090044;12.4 ;16.6 ;15
1090045;NF ;  ;  
1090046;0;FT ;NC 
1090047;10;FT ;10
1090048;15;18.1 ;17
1090049;0;FT ;NC 
1090051;5;16.8 ;11
1090052;8.6 ;13.9 ;11
1090053;0;FT ;NC 
1090054;0;FT ;NC 
1090055;0;FT ;NC 
1090056;5.8 ;6.2 ;6
1090057;17;13.9 ;15
1090058;0;FT ;0
1090059;NF ;  ;  
1090060;0;FT ;NC 
1090061;0;DT ;NC 
1090062;0;FT ;NC 
1090063;0;FT ;0
1090064;2.8 ;16.7 ;10
1090065;5;FT ;3
1090066;NF ;  ;  
1090067;16.8 ;16.1 ;17
1090068;0;FT ;NC 
1090069;7.2 ;FT ;4
1090070;6.6 ;18.9 ;13
1090072;12.4 ;9.2 ;11
1090073;12;10.7 ;11
1090074;0;DT ;NC 
1090075;19.8 ;19.9 ;20
1090078;2.4 ;FT ;1
1090079;12.6 ;17.2 ;15
1090081;3.8 ;FT ;2
1090082;1;FT ;1
1090083;18.8 ;18.9 ;19
1090085;16.8 ;14.1 ;16
1090087;4;FT ;2
1090088;11.6 ;13.8 ;13
1090089;6.8 ;4.4 ;6
1090090;11.4 ;7.8 ;10
1090091;5;4.8 ;5
1090092;12.2 ;14.7 ;14
1090093;14.4 ;16;15
1090094;13.8 ;16.2 ;15
1090095;11.2 ;13.7 ;13
1090096;12.2 ;15.2 ;14
1090097;0;FT ;NC 
1090098;1.6 ;FT ;1
1090099;16.2 ;7;12
1090102;0;18.3 ;10
1090103;NF ;  ;  
1090104;7.6 ;16.9 ;12
1090105;14.8 ;16.1 ;16
1090106;3;5.5 ;4
1090107;12.2 ;15.8 ;14
1090108;0;1.3 ;1
1090110;7.8 ;11;10
1090111;NF ;  ;  
1090112;3.4 ;12.5 ;8
1090113;13.2 ;12.7 ;13
1090114;8.4 ;12.5 ;11
1090115;7.2 ;11.9 ;10
1090117;15.6 ;6.4 ;11
1090118;18.6 ;18.7 ;19
1090119;12.6 ;11.6 ;12
1090120;10.8 ;17.6 ;14
1090121;6.4 ;FT ;3
1090122;15;16;16
1090124;6.2 ;FT ;3
1090125;12.2 ;13.6 ;13
1090126;10.4 ;FT ;5
1090127;10;FT ;5
1090128;13.2 ;17;15
1090129;14.6 ;17.5 ;16
