UC;UC02;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;30/1/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1090059;--- ;NF ;  ;  
1090060;--- ;NC ;  ;NC 
1090061;--- ;7.92 ;10;8
1090063;--- ;NC ;  ;NC 
1090064;--- ;9.72 ;13;11
1090065;--- ;12.18 ;14;13
1090066;--- ;NF ;  ;  
1090067;--- ;15.44 ;14;15
1090068;--- ;NF ;  ;  
1090069;--- ;NF ;  ;  
1090070;--- ;10.72 ;13;11
1090071;--- ;10.09 ;13;11
1090072;--- ;14.81 ;13;14
1090073;--- ;11.04 ;14;12
1090074;--- ;NC ;  ;NC 
1090075;--- ;15.74 ;13;15
1090077;--- ;NF ;  ;  
1090078;--- ;5.76 ;13;SM 
1090079;--- ;14.58 ;13;14
1090080;--- ;13.13 ;13;13
1090081;--- ;NF ;  ;  
1090082;--- ;10.05 ;14;11
1090083;--- ;9.75 ;13;11
1090085;--- ;15;15;15
1090086;--- ;13.13 ;12;13
1090087;--- ;NC ;FT ;NC 
1090088;--- ;13.58 ;14;14
1090089;--- ;8.64 ;15;10
1090090;--- ;9.83 ;11;10
1090091;--- ;NC ;FT ;NC 
1090092;--- ;9.75 ;11;10
1090094;--- ;13.64 ;11;13
1090095;--- ;8.83 ;14;10
1090096;--- ;9.75 ;13;11
1090097;--- ;NF ;  ;  
1090098;--- ;NC ;FT ;NC 
1090099;--- ;16.12 ;16;16
1090101;--- ;NC ;  ;NC 
1090102;--- ;NC ;FT ;NC 
1090103;--- ;NF ;  ;  
1090104;--- ;15.74 ;12;15
1090105;--- ;15.98 ;12;15
1090106;--- ;NC ;FT ;NC 
1090107;--- ;9.88 ;15;11
1090108;--- ;NF ;  ;  
1090110;--- ;14.17 ;15;14
1090111;--- ;NF ;  ;  
1090112;--- ;14.73 ;13;14
1090113;--- ;11.16 ;12;11
1090114;--- ;12.44 ;15;13
1090115;--- ;7.5 ;15;10
1090117;--- ;16.12 ;16;16
1090118;--- ;15.44 ;14;15
1090119;--- ;15.9 ;13;15
1090120;--- ;14.56 ;14;14
1090121;--- ;7.76 ;11;9
1090122;--- ;8.46 ;13;10
1090123;--- ;NF ;  ;  
1090124;--- ;9.32 ;12;10
1090125;--- ;13.13 ;11;13
1090126;--- ;14.28 ;12;14
1090127;--- ;9.32 ;11;10
1090128;--- ;13.57 ;14;14
1090129;--- ;7.5 ;15;10
1090130;--- ;15.98 ;14;15
1090131;--- ;11.74 ;12;12
1090132;--- ;9.9 ;11;10
1090133;--- ;12.8 ;12;13
1090134;--- ;6.82 ;10;8
1090135;--- ;11.3 ;11;11
1090136;--- ;NC ;  ;NC 
1090137;--- ;6.61 ;  ;NC 
1090138;--- ;14.73 ;12;14
1090139;--- ;15.44 ;14;15
1090140;--- ;NF ;  ;  
1090141;--- ;9.3 ;13;10
1090142;--- ;10.24 ;13;11
1090143;--- ;9.02 ;15;11
1090144;--- ;14.13 ;17;15
1090145;--- ;16.12 ;18;17
1090146;--- ;NF ;  ;  
1090147;--- ;NF ;  ;  
1090148;--- ;NF ;  ;  
1090150;--- ;9.1 ;11;10
1090151;--- ;11.45 ;13;12
1090152;--- ;NF ;  ;  
1090153;--- ;NC ;FT ;NC 
1090154;--- ;NF ;  ;  
1090155;--- ;16.12 ;16;16
1090156;--- ;15.9 ;15;16
1090157;--- ;17.36 ;13;16
1090158;--- ;NC ;  ;NC 
1090159;--- ;16.12 ;13;15
1090160;--- ;7.73 ;13;9
1090161;--- ;8.2 ;13;10
1090162;--- ;9.1 ;14;10
1090163;--- ;11.19 ;14;12
1090164;--- ;16.8 ;15;16
1090165;--- ;NC ;  ;NC 
1090166;--- ;NF ;  ;  
1090167;--- ;NC ;  ;NC 
