Numero;Ano
1080130;2
1080133;2
1080135;2
1080136;1
1080138;1
1080141;2
1080143;1
1080144;1
1080149;2
1080152;1
1080155;2
1080158;2
1080162;2
1080164;1
1080170;2
1080172;1
1080175;2
1080176;2
1080178;2
1080185;1
1080187;2
1080193;2
1080197;1
1080200;1
1080206;2
1080209;2
1080003;2
1080008;2
1080010;2
1080012;1
1080016;2
1080020;1
1080025;2
1080027;1
1080029;2
1080032;2
1080034;1
1080038;1
1080041;2
1080044;2
1080047;2
1080048;2
1080182;2
1080184;1
1080189;2
1080196;1
1080198;1
1080203;1
1080208;1
1080001;1
1080005;1
1080011;2
1080013;2
1080017;2
1080021;2
1080022;2
1080026;2
1080030;2
1080031;1
1080036;2
1080042;2
1080146;2
1080148;2
1080151;2
1080153;1
1080157;2
1080160;2
1080163;2
1080166;2
1080168;1
1080171;2
1080177;3
1080181;3
1080183;2
1080190;2
1080192;3
1080194;2
1080201;3
1080204;3
1080002;2
1080004;2
1080023;2
1080074;1
1080007;1
1080053;2
1080056;1
1080058;2
1080059;2
1080060;2
1080062;1
1080064;2
1080116;1
1080139;1
1080195;1
1080199;1
1080018;1
1080039;1
1090144;1
1090148;1
1090260;1
1090262;1
1090264;1
1090265;1
1090267;1
1090001;1
1090002;1
1090005;1
1090008;1
1090009;1
1090011;1
1090013;1
1090015;1
1090017;1
1090020;1
1090024;1
1090030;1
1090033;1
1090036;1
1090040;1
1090043;1
1090047;1
1090051;1
1090056;1
1090059;1
1090064;1
1090067;1
1090072;1
1090078;1
1090081;1
1090085;1
1090087;1
1090089;1
1090094;1
1090097;1
1090102;1
1090105;1
1090108;1
1090110;1
1090115;1
1090118;1
1090121;1
1090126;1
1090129;1
1090132;1
1090135;1
1090139;1
1090142;1
1090147;1
1090150;1
1090152;1
1090154;1
1090156;1
1090158;1
1090160;1
1090162;1
1090164;1
1090167;1
1090169;1
1090172;1
1090175;1
1090178;1
1090180;1
1090183;1
1090185;1
1090189;1
1090190;1
1090192;1
1090194;1
1090197;1
1090198;1
1090200;1
1090202;1
1090204;1
1090207;1
1090209;1
1090212;1
1090215;1
1090217;1
1090219;1
1090221;1
1090226;1
1090229;1
1090238;1
1090241;1
1090247;1
1090249;1
1090253;1
1090255;1
1090257;1
1090261;1
1090263;1
1090266;1
1090268;1
1090003;1
1090006;1
1090010;1
1090012;1
1090014;1
1090016;1
1090018;1
1090019;1
1090021;1
1090025;1
1090028;1
1090031;1
1090034;1
1090037;1
1090041;1
1090044;1
1090048;1
1090052;1
1090060;1
1090065;1
1090068;1
1090073;1
1090079;1
1090082;1
1090088;1
1090090;1
1090095;1
1090098;1
1090103;1
1090106;1
1090111;1
1090114;1
1090119;1
1090122;1
1090130;1
1090133;1
1090136;1
1090140;1
1090143;1
1090145;1
1090151;1
1090153;1
1090155;1
1090157;1
1090159;1
1090161;1
1090163;1
1090168;1
1090170;1
1090171;1
1090176;1
1090179;1
1090181;1
1090184;1
1090186;1
1090187;1
1090191;1
1090193;1
1090195;1
1090196;1
1090199;1
1090201;1
1090203;1
1090205;1
1090206;1
1090208;1
1090210;1
1090213;1
1090216;1
1090218;1
1090220;1
1090224;1
1090230;1
1090234;1
1090239;1
1090242;1
1090244;1
1090248;1
1090250;1
1090223;1
1090227;1
1090231;1
1090235;1
1090236;1
1090240;1
1090245;1
1090246;1
1090251;1
1090252;1
1090254;1
1090256;1
1090258;1
1090259;1
1090023;1
1090026;1
1090032;1
1090035;1
1090039;1
1090046;1
1090050;1
1090055;1
1090062;1
1090069;1
1090071;1
1090077;1
1090091;1
1090093;1
1090099;1
1090029;1
1090038;1
1090042;1
1090045;1
1090049;1
1090053;1
1090057;1
1090061;1
1090066;1
1090070;1
1090074;1
1090075;1
1090080;1
1090083;1
